ID_mieszkania;Miasto;Ulica;Numer_budynku;Numer_mieszkania;Pietro;Liczba_pokoi;Metraz;Cena;Rok_budowy;Miejsce_parkingowe;Komorka_lokatorska;Stan_mieszkania;Balkon;Status_oferty;Opis
MW00060;Gdynia;Żwirowa;3;163;8;2;110.89;422852.58;2024;NIE;TAK;pod klucz;NIE;dostępne;Zakres pływać dodatkowy tor biblioteka dalej koło.
MW00061;Gdynia;Kolorowa;21;142;10;5;25.21;932780.01;2024;TAK;TAK;pod klucz;NIE;zarezerwowane;Indie prawda dwudziesty główny królewski pociąg sowa ryba zawód poruszać się.
MW00062;Gdańsk;Kolonia;24;78;8;4;51.29;1213397.39;2025;TAK;NIE;deweloperski;TAK;sprzedane;Rzymski 100 postępować górny tutaj trudność przejście dwa brzuch przygotować.
MW00063;Sopot;Listopada;22;191;10;4;32.66;640832.17;2024;NIE;TAK;deweloperski;TAK;zarezerwowane;Nastrój lekarz substancja łączyć literacki podatek proces wniosek fala.
MW00064;Sopot;Bukowa;15;188;3;2;23.17;1022551.43;2025;TAK;TAK;surowy;TAK;dostępne;Azja miły pić Niemcy pogoda urodzić.
MW00065;Gdynia;Dąbrowskiej;4;126;4;3;52.92;874302.43;2025;TAK;TAK;surowy;NIE;sprzedane;Opłata zajęcie wyrażać godzina wydarzenie krok postępowanie książka.
MW00066;Gdańsk;Krucza;24;50;10;3;90.48;326540.76;2025;NIE;NIE;deweloperski;NIE;zarezerwowane;Państwo stolica spaść śnieg nauczycielka zarówno ile historia.
MW00067;Gdynia;Rolna;28;194;8;1;33.67;1047454.06;2024;NIE;NIE;pod klucz;NIE;dostępne;List siła roślina właściwość samochodowy epoka maj z brzydki kaczka prowadzić.
MW00068;Sopot;Prosta;34;200;2;5;130.24;447454.84;2025;TAK;NIE;surowy;TAK;zarezerwowane;Tutaj słoneczny pomarańcza przyjechać Szwajcaria azjatycki wypadek.
MW00069;Gdynia;Wschodnia;19;128;1;1;22.25;1487386.44;2024;NIE;TAK;pod klucz;TAK;zarezerwowane;Zapis wiedza uderzać uwaga zielony naród gospodarczy dodawać jedyny późny przybyć historyczny.
MW00070;Sopot;Wypoczynkowa;44;199;9;2;130.15;756108.91;2024;TAK;TAK;deweloperski;TAK;sprzedane;Odzież mówić zwykle chyba mierzyć dar przychodzić Ameryka potrzebny odkryć.
MW00071;Sopot;Górna;47;56;9;4;65.01;651474.45;2025;NIE;NIE;surowy;TAK;dostępne;Zły chłopak porządek gwiazdozbiór źle osioł na czasem finansowy pozwalać pojemnik.
MW00072;Gdynia;Powstańców Śląskich;3;102;7;3;144.32;423840.54;2024;TAK;TAK;pod klucz;NIE;dostępne;Znów niewielki rower zdjęcie nadzieja muzyczny siostra pozbawić rana niebo.
MW00073;Gdynia;Myśliwska;18;154;1;4;54.7;783204.64;2024;NIE;TAK;surowy;NIE;sprzedane;Większość ślub prowincja kapelusz drugi towar od angielski długo lustro sąsiad 10.
MW00074;Gdańsk;Jeziorna;32;156;1;2;75.62;1013775.05;2025;NIE;TAK;surowy;TAK;zarezerwowane;Koło miesiąc nadmierny interes kartka jajo czyn barwa listopad.
MW00075;Sopot;Asnyka;32;188;8;5;138.81;775525.17;2024;TAK;NIE;pod klucz;TAK;sprzedane;Podobny wrogi aktywny kamień uznawać Ukraina płyta delikatny amharski kuchnia widoczny.
MW00076;Gdańsk;Wiatraczna;7;13;2;2;125.22;377061.61;2025;TAK;TAK;deweloperski;TAK;zarezerwowane;Pies stawać się właściwość liść sygnał pisanie.
MW00077;Gdańsk;Słonecznikowa;32;20;5;2;122.44;1295899.77;2024;NIE;NIE;surowy;NIE;zarezerwowane;Czekolada odważny telewizyjny uciekać 50 podać wiedza swój matka.
MW00078;Gdynia;Składowa;14;49;3;1;33.84;1166649.76;2025;NIE;NIE;pod klucz;TAK;zarezerwowane;Spadek listopad wykorzystywać włożyć radiowy stolica podczas określenie rosyjski łąka ryzyko układ noga.
MW00079;Gdańsk;Harcerska;1;101;3;1;147.87;622681.01;2024;TAK;TAK;surowy;TAK;sprzedane;Kontynent przyrząd zakładać obóz dodawać klasa typ prawny opuścić rodzina polski.
MW00080;Gdańsk;Młynarska;45;108;4;3;136.47;222282.13;2025;TAK;NIE;pod klucz;NIE;zarezerwowane;Świnia nasiono obwód powstać wrócić książę pytać gołąb siła wszelki lek.
MW00081;Gdańsk;Ptasia;30;114;10;4;89.23;263245.43;2025;NIE;TAK;pod klucz;NIE;sprzedane;Trudno wciąż ostry kawałek żeński ostatni położenie szanowny miły biały.
MW00082;Gdańsk;Miodowa;45;15;10;1;71.37;901740.86;2024;TAK;NIE;pod klucz;TAK;sprzedane;Opieka gwiazdozbiór trzymać forma dziś aby stać się cel.
MW00083;Gdynia;Skłodowskiej-Curie;16;1;9;4;132.2;1402974.57;2024;NIE;TAK;deweloperski;NIE;sprzedane;Pytanie płacić różnica 8 czuć pełny wzdłuż.
MW00084;Gdynia;Kolonia;19;181;0;5;127.12;1327361.64;2024;NIE;NIE;deweloperski;TAK;zarezerwowane;Dziś obecnie wykonywanie pójść nadmierny złodziej grzyb.
MW00085;Sopot;Rynek;3;146;7;3;66.4;1284484.54;2024;NIE;NIE;surowy;NIE;sprzedane;Oczywiście wolność zacząć wspaniały móc filozofia brązowy pełny jasny dokument.
MW00086;Sopot;Nowa;11;148;2;2;127.65;1423264.33;2024;TAK;TAK;pod klucz;TAK;zarezerwowane;Dzięki sobie robić naturalny pająk strefa Afryka maj urzędnik zimno przygotować tekst.
MW00087;Sopot;Łanowa;37;65;10;3;23.1;1021037.79;2024;TAK;NIE;deweloperski;NIE;sprzedane;Suma dorosły określony ryzyko pióro mecz padać dobrze mało mało stanowisko wiek.
MW00088;Gdańsk;Jesienna;30;149;9;1;51.33;526991.47;2025;TAK;NIE;deweloperski;NIE;dostępne;U albo głupi cztery klub wybuch proszę wojsko.
MW00089;Gdańsk;Hutnicza;36;45;3;3;130.4;677903.98;2025;TAK;TAK;surowy;TAK;zarezerwowane;Połowa silny jutro kara wiosna uniwersytet.
MW00090;Gdańsk;Skargi;12;57;7;2;23.36;620004.07;2025;TAK;NIE;surowy;NIE;sprzedane;Określać – sześćdziesiąt październik przebywać brązowy 9 modlitwa.
MW00091;Gdynia;Lipca;8;62;8;1;98.02;261039.8;2024;NIE;TAK;deweloperski;NIE;sprzedane;Przedstawiciel przestać dziwny produkt wygrać robić ból los panna zaraz.
MW00092;Gdańsk;Szarych Szeregów;49;119;4;1;68.46;1372488.61;2025;NIE;TAK;pod klucz;TAK;dostępne;Jak zajmować się myśleć tłum zwyczaj ludowy prawdziwy składać metalowy ogólny.
MW00093;Gdańsk;Moniuszki;3;179;9;4;38.57;1263986.09;2025;TAK;TAK;surowy;NIE;sprzedane;Położony pozostawać przyszłość ja gorący Francja czuć stanowisko.
MW00094;Gdańsk;Rzeczna;4;36;6;1;106.8;645037.95;2024;TAK;NIE;pod klucz;TAK;dostępne;Przyszły służyć jajo chłopak człowiek nagły zajmować się wkrótce ciecz urodzenie dziecko dokument.
MW00095;Sopot;Południowa;20;99;7;4;97.71;850154.07;2024;NIE;TAK;deweloperski;NIE;dostępne;Katolicki niewolnik członek mięso wysoki możliwość kino mierzyć klasa nauczyciel hasło szeroki srebrny.
MW00096;Gdańsk;Żeglarska;20;96;8;3;103.75;1112604.14;2025;NIE;NIE;surowy;TAK;dostępne;Lecz złapać złodziej użyć rower oddać padać niektóry pytać jego ulica modlitwa bogaty.
MW00097;Sopot;Tęczowa;17;176;5;4;57.06;1377307.58;2025;NIE;NIE;deweloperski;TAK;sprzedane;Między dobrze odcień właściwy teatr przestrzeń wyspa.
MW00098;Sopot;Morska;37;187;0;3;68.57;649193.99;2025;TAK;TAK;surowy;TAK;sprzedane;Chleb zabawka działać uśmiech tytuł anioł gdy wydarzenie handel mieszkać.
MW00099;Gdynia;Opolska;41;90;8;1;33.56;233890.54;2025;TAK;NIE;pod klucz;NIE;zarezerwowane;Terytorium odcinek dach ciemny środkowy znać czytać wtedy Białoruś nad.
MW00100;Gdynia;Młynarska;33;140;1;4;124.94;1140272.47;2024;NIE;TAK;pod klucz;TAK;dostępne;Smak autobus ich znajdować się Europa koszt cecha przyrząd ty wioska atak.
